StudyHours,Attendance,Assignments,PreviousMarks,Result
7.5,92,95,88,Pass
3.2,61,55,45,Fail
6.8,85,88,78,Pass
2.1,45,40,32,Fail
8.2,96,98,92,Pass
5.5,78,72,65,Pass
1.8,38,30,28,Fail
6.1,82,80,74,Pass
4.3,65,60,52,Fail
7.9,91,93,87,Pass
3.8,58,52,48,Fail
5.2,74,68,61,Pass
9.1,98,99,95,Pass
2.5,50,42,38,Fail
6.4,83,85,76,Pass
1.5,35,28,22,Fail
7.2,89,90,83,Pass
4.7,70,65,57,Fail
8.5,94,96,90,Pass
3.0,55,48,41,Fail
6.7,86,87,79,Pass
2.8,52,45,35,Fail
5.8,79,75,68,Pass
1.2,30,22,18,Fail
7.6,93,94,89,Pass
4.1,63,58,50,Fail
8.8,97,97,93,Pass
3.5,57,50,44,Fail
6.0,81,79,72,Pass
2.3,47,38,30,Fail
7.0,88,89,82,Pass
5.0,73,67,60,Pass
1.9,40,32,25,Fail
6.3,84,83,75,Pass
4.5,68,62,54,Fail
8.0,95,95,91,Pass
3.3,59,53,46,Fail
5.6,77,73,66,Pass
2.0,43,35,27,Fail
7.4,90,92,86,Pass
4.8,71,66,58,Fail
6.6,85,86,78,Pass
1.6,36,27,20,Fail
8.3,96,98,92,Pass
3.7,60,55,47,Fail
5.3,75,69,62,Pass
9.0,98,99,94,Pass
2.6,51,44,37,Fail
6.9,87,88,80,Pass
4.0,62,57,49,Fail
7.7,92,93,88,Pass
3.1,56,49,42,Fail
5.9,80,76,69,Pass
1.3,31,24,19,Fail
7.3,89,91,84,Pass
4.6,69,63,55,Fail
8.6,96,97,91,Pass
2.9,53,46,36,Fail
6.2,82,81,73,Pass
5.1,74,68,61,Pass
1.7,37,29,23,Fail
6.5,84,84,76,Pass
4.2,64,59,51,Fail
8.1,95,96,90,Pass
3.4,58,51,45,Fail
5.7,78,74,67,Pass
2.2,46,37,29,Fail
7.8,93,94,89,Pass
4.9,72,66,59,Fail
6.8,86,87,79,Pass
1.4,33,25,21,Fail
8.4,97,98,93,Pass
3.6,59,54,46,Fail
5.4,76,70,63,Pass
9.2,99,100,96,Pass
2.7,52,45,36,Fail
7.1,88,90,83,Pass
4.4,67,61,53,Fail
8.7,97,97,92,Pass
3.2,57,50,43,Fail
6.1,81,80,72,Pass
1.8,39,31,24,Fail
7.5,91,92,87,Pass
5.5,77,72,65,Pass
2.4,49,40,33,Fail
6.6,85,86,78,Pass
4.7,70,64,56,Fail
8.9,98,99,94,Pass
3.0,54,47,40,Fail
6.3,83,82,74,Pass
1.1,29,20,16,Fail
7.6,92,93,88,Pass
4.1,63,57,50,Fail
5.8,79,74,68,Pass
2.1,44,36,28,Fail
7.9,94,95,90,Pass
3.8,60,54,47,Fail
6.4,84,84,76,Pass
8.2,95,96,91,Pass
2.5,50,43,34,Fail
6.0,80,78,71,Pass
